Id,Incident Date,State,City Or County,Address,# Killed,# Injured,Operations
2019-1,29-Dec-19,Illinois,Danville,1803 block of Westview Ave,0,5,N/A
2019-2,29-Dec-19,New York,Buffalo,50 block of Henrietta Ave,1,3,N/A
2019-3,29-Dec-19,California,Ceres,800 block of Allacante Dr,0,5,N/A
2019-4,27-Dec-19,California,Modesto,1900 block of Vernon Ave,1,3,N/A
2019-5,27-Dec-19,Georgia,Kennesaw,1575 Ridenour Pkwy NW,0,4,N/A
2019-6,27-Dec-19,Texas,Houston,500 block of Smart St,2,7,N/A
2019-7,26-Dec-19,Florida,Saint Petersburg,4300 6th St S,0,5,N/A
2019-8,25-Dec-19,California,Oakland,2100 block of 34th Ave,0,4,N/A
2019-9,25-Dec-19,Iowa,Coralville,900 block of Boston Way,1,3,N/A
2019-10,25-Dec-19,Virginia,Richmond,1800 E Main St,1,3,N/A
2019-11,24-Dec-19,Louisiana,New Orleans,6400 block of General Meyer Ave,0,4,N/A
2019-12,24-Dec-19,Illinois,Joliet,1200 block of Cutter Ave,0,5,N/A
2019-13,24-Dec-19,North Carolina,High Point,1226 Montlieu Ave,0,6,N/A
2019-14,22-Dec-19,Maryland,Baltimore,225 Park Ave,0,7,N/A
2019-15,22-Dec-19,Minnesota,Minneapolis (Spring Lake Park),8407 Plaza Blvd NE,1,7,N/A
2019-16,22-Dec-19,Illinois,Chicago,5700 block of S May St,0,13,N/A
2019-17,21-Dec-19,Louisiana,Edgard,2555 LA-18,0,4,N/A
2019-18,20-Dec-19,Mississippi,Waynesboro,Turner St,1,6,N/A
2019-19,20-Dec-19,Alabama,Tuskegee,2900 block of Davison St,2,2,N/A
2019-20,18-Dec-19,Texas,San Antonio,2418 SW Military Dr,0,4,N/A
2019-21,17-Dec-19,Montana,Great Falls,1701 10th Ave S,4,1,N/A
2019-22,15-Dec-19,Georgia,Columbus,600 block of 32nd St,1,4,N/A
2019-23,14-Dec-19,California,Ivanhoe,15700 block of Paradise Ave,0,4,N/A
2019-24,12-Dec-19,Missouri,Saint Louis (Moline Acres),9900 block of Lewis and Clark Blvd,1,3,N/A
2019-25,10-Dec-19,New Jersey,Jersey City,223 Martin Luther King Dr,6,3,N/A
2019-26,8-Dec-19,Texas,Desoto,200 block of W Wintergreen Rd,2,3,N/A
2019-27,8-Dec-19,Louisiana,New Orleans,3801 Washington Ave,1,4,N/A
2019-28,6-Dec-19,Florida,Pensacola,280 Taylor Rd,4,8,N/A
2019-29,4-Dec-19,Alabama,Montgomery,500 Eastdale Rd S,2,2,N/A
2019-30,1-Dec-19,Louisiana,Cotton Valley,116 Hawthorne Loop,2,3,N/A
